PROVINCIA_CODIGO_OLD,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO_OLD,CANTON_NOMBRE,CANTON_CODIGO
18.0,EC18,TUNGURAHUA,145.0,SANTIAGO DE PILLARO,EC1808
18.0,EC18,TUNGURAHUA,150.0,BANOS DE AGUA SANTA,EC1802
18.0,EC18,TUNGURAHUA,155.0,PATATE,EC1805
18.0,EC18,TUNGURAHUA,160.0,QUERO,EC1806
18.0,EC18,TUNGURAHUA,845.0,CEVALLOS,EC1803
18.0,EC18,TUNGURAHUA,850.0,MOCHA,EC1804
18.0,EC18,TUNGURAHUA,90.0,TISALEO,EC1809
19.0,EC19,ZAMORA CHINCHIPE,130.0,NANGARITZA,EC1903
19.0,EC19,ZAMORA CHINCHIPE,655.0,ZAMORA,EC1901
19.0,EC19,ZAMORA CHINCHIPE,660.0,CHINCHIPE,EC1902
19.0,EC19,ZAMORA CHINCHIPE,661.0,PALANDA,EC1908
19.0,EC19,ZAMORA CHINCHIPE,665.0,YACUAMBI,EC1904
19.0,EC19,ZAMORA CHINCHIPE,670.0,YANTZAZA,EC1905
19.0,EC19,ZAMORA CHINCHIPE,775.0,EL PANGUI,EC1906
19.0,EC19,ZAMORA CHINCHIPE,980.0,CENTINELA DEL CONDOR,EC1907
19.0,EC19,ZAMORA CHINCHIPE,981.0,PAQUISHA,EC1909
20.0,EC20,GALAPAGOS,800.0,SAN CRISTOBAL,EC2001
20.0,EC20,GALAPAGOS,805.0,SANTA CRUZ,EC2003
20.0,EC20,GALAPAGOS,810.0,ISABELA,EC2002
21.0,EC21,SUCUMBIOS,625.0,LAGO AGRIO,EC2101
21.0,EC21,SUCUMBIOS,626.0,CUYABENO,EC2107
21.0,EC21,SUCUMBIOS,640.0,SUCUMBIOS,EC2105
21.0,EC21,SUCUMBIOS,650.0,PUTUMAYO,EC2103
21.0,EC21,SUCUMBIOS,720.0,SHUSHUFINDI,EC2104
21.0,EC21,SUCUMBIOS,745.0,CASCALES,EC2106
21.0,EC21,SUCUMBIOS,865.0,GONZALO PIZARRO,EC2102
22.0,EC22,ORELLANA,630.0,AGUARICO,EC2202
22.0,EC22,ORELLANA,645.0,FRANCISCO DE ORELLANA,EC2201
22.0,EC22,ORELLANA,725.0,LA JOYA DE LOS SACHAS,EC2203
22.0,EC22,ORELLANA,935.0,LORETO,EC2204
23.0,EC23,SANTO DOMINGO DE LOS TSACHILAS,85.0,SANTO DOMINGO,EC2301
23.0,EC23,SANTO DOMINGO DE LOS TSACHILAS,982.0,LA CONCORDIA,EC2302
24.0,EC24,SANTA ELENA,405.0,SALINAS,EC2403
24.0,EC24,SANTA ELENA,410.0,SANTA ELENA,EC2401
24.0,EC24,SANTA ELENA,965.0,LA LIBERTAD,EC2402
26.0,EC26,"EUROPA, ASIA, OCEANIA",11.0,ALEMANIA,DEU
26.0,EC26,"EUROPA, ASIA, OCEANIA",31.0,AUSTRALIA,AUS
26.0,EC26,"EUROPA, ASIA, OCEANIA",101.0,COREA (SUR) REPUBLICA DE,KOR
26.0,EC26,"EUROPA, ASIA, OCEANIA",141.0,CHINA,CHN
26.0,EC26,"EUROPA, ASIA, OCEANIA",171.0,ESPANA,ESP
26.0,EC26,"EUROPA, ASIA, OCEANIA",191.0,FRANCIA,FRA
26.0,EC26,"EUROPA, ASIA, OCEANIA",201.0,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,GBR
26.0,EC26,"EUROPA, ASIA, OCEANIA",231.0,HUNGRIA,HUN
26.0,EC26,"EUROPA, ASIA, OCEANIA",242.0,INDIA,IND
26.0,EC26,"EUROPA, ASIA, OCEANIA",251.0,ISRAEL,ISR
26.0,EC26,"EUROPA, ASIA, OCEANIA",261.0,ITALIA,ITA
26.0,EC26,"EUROPA, ASIA, OCEANIA",271.0,JAPON,JPN
26.0,EC26,"EUROPA, ASIA, OCEANIA",301.0,PAISES BAJOS (HOLANDA),NLD
26.0,EC26,"EUROPA, ASIA, OCEANIA",361.0,SUECIA,SWE
26.0,EC26,"EUROPA, ASIA, OCEANIA",371.0,SUIZA,CHE
26.0,EC26,"EUROPA, ASIA, OCEANIA",381.0,FEDERACION DE RUSIA,RUS
26.0,EC26,"EUROPA, ASIA, OCEANIA",41.0,AUSTRIA,AUT
26.0,EC26,"EUROPA, ASIA, OCEANIA",411.0,INDONESIA,IDN
26.0,EC26,"EUROPA, ASIA, OCEANIA",421.0,MALASIA,MYS
26.0,EC26,"EUROPA, ASIA, OCEANIA",431.0,POLONIA,POL
26.0,EC26,"EUROPA, ASIA, OCEANIA",432.0,PORTUGAL,PRT
26.0,EC26,"EUROPA, ASIA, OCEANIA",451.0,TURQUIA,TUR
26.0,EC26,"EUROPA, ASIA, OCEANIA",461.0,IRAN,IRN
26.0,EC26,"EUROPA, ASIA, OCEANIA",471.0,CATAR,QAT
26.0,EC26,"EUROPA, ASIA, OCEANIA",481.0,SINGAPUR,SGP
26.0,EC26,"EUROPA, ASIA, OCEANIA",491.0,BELARUS,BLR
26.0,EC26,"EUROPA, ASIA, OCEANIA",51.0,BELGICA,BEL
27.0,EC27,NORTE-AMERICA,181.0,ESTADOS UNIDOS DE AMERICA,USA
27.0,EC27,NORTE-AMERICA,81.0,CANADA,CAN
28.0,EC28,"LATAM, CARIBE, AFRICA",21.0,ARGENTINA,ARG
28.0,EC28,"LATAM, CARIBE, AFRICA",71.0,BRASIL,BRA
28.0,EC28,"LATAM, CARIBE, AFRICA",121.0,CUBA,CUB
28.0,EC28,"LATAM, CARIBE, AFRICA",111.0,COSTA RICA,CRI
28.0,EC28,"LATAM, CARIBE, AFRICA",131.0,CHILE,CHL
28.0,EC28,"LATAM, CARIBE, AFRICA",161.0,EL SALVADOR,SLV
28.0,EC28,"LATAM, CARIBE, AFRICA",211.0,GUATEMALA,GTM
28.0,EC28,"LATAM, CARIBE, AFRICA",221.0,HONDURAS,HND
28.0,EC28,"LATAM, CARIBE, AFRICA",281.0,MEXICO,MEX
28.0,EC28,"LATAM, CARIBE, AFRICA",291.0,NICARAGUA,NIC
28.0,EC28,"LATAM, CARIBE, AFRICA",312.0,PANAMA,PAN
28.0,EC28,"LATAM, CARIBE, AFRICA",321.0,PARAGUAY,PRY
28.0,EC28,"LATAM, CARIBE, AFRICA",331.0,PERU,PER
28.0,EC28,"LATAM, CARIBE, AFRICA",341.0,EGIPTO,EGY
28.0,EC28,"LATAM, CARIBE, AFRICA",351.0,REPUBLICA DOMINICANA,DOM
28.0,EC28,"LATAM, CARIBE, AFRICA",391.0,URUGUAY,URY
28.0,EC28,"LATAM, CARIBE, AFRICA",401.0,VENEZUELA,VEN
28.0,EC28,"LATAM, CARIBE, AFRICA",441.0,SUDAFRICA,ZAF
28.0,EC28,"LATAM, CARIBE, AFRICA",61.0,BOLIVIA,BOL
28.0,EC28,"LATAM, CARIBE, AFRICA",91.0,COLOMBIA,COL
90.0,EC90,ZONA EN ESTUDIO,997.0,ZONA ESPECIAL ELECTORAL EL PIEDRERO,997
90.0,EC90,ZONA EN ESTUDIO,,JUVAL,EC9006
