OP_CODIGO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,ANIO
12018.0,CANTONAL,MOVIMIENTO FUERZA SOLIDARIA,MFS,2009
13015.0,CANTONAL,MOVIMIENTO INTEGRADOR REVOLUCIONARIO OLMEDO,MIRO,2009
13016.0,CANTONAL,MOVIMIENTO RENOVADOR MANABITA,MRM,2009
13043.0,CANTONAL,MOVIMIENTO INTEGRACION POR EL CAMBIO,MIC,2009
13046.0,CANTONAL,MOVIMIENTO POLITICO OBRERO INDEPENDIENTE,MOI,2009
13048.0,CANTONAL,PAJAN AVANZA,PA,2009
13051.0,CANTONAL,SI UNIDAD MANTENSE,SUM,2009
15014.0,CANTONAL,MOVIMIENTO INDEPENDIENTE EL CHACO,MICH,2009
15021.0,CANTONAL,RENACE EL CHACO,MIRECH,2009
15022.0,CANTONAL,NAPO VIVE,NAVI,2009
16024.0,CANTONAL,MOVIMIENTO INDEPENDIENTE UNIDOS POR EL CAMBIO,MIUC,2009
17041.0,CANTONAL,MOVIMIENTO CAMBIO Y ACCION,MCA,2009
17051.0,CANTONAL,MOVIMIENTO RUMINAHUI TIERRA SAGRADA,MRTS,2009
17052.0,CANTONAL,MOVIMIENTO PUEBLO NUEVO,MPN,2009
17053.0,CANTONAL,FRENTE PATRIOTICO CAYAMBENO,FPC,2009
17054.0,CANTONAL,MOVIMIENTO RENOVADOR SAN MIGUEL DE LOS BANCOS,MRSMB,2009
17055.0,CANTONAL,MOVIMIENTO DE ACCION CIUDADANA,MAC,2009
17056.0,CANTONAL,FRENTE RUMINAHUI UNIDO,FRU,2009
17059.0,CANTONAL,FRENTE PATRIOTICO POR MEJIA,FPM,2009
17060.0,CANTONAL,UNION PROGRESO Y DEMOCRACIA,UPD,2009
17062.0,CANTONAL,MOVIMIENTO RUMINAHUI EN ACCION,MRA,2009
17066.0,CANTONAL,PRIMERO RUMINAHUI,PR,2009
17068.0,CANTONAL,MOVIMIENTO ALTUVO DE RESCATE CANTONAL,MARCA,2009
17071.0,CANTONAL,MOVIMIENTO CIUDADANO PUERTO QUITO,MCPQ,2009
17074.0,CANTONAL,MOVIMIENTO UNIDAD CAYAMBENA,MUC,2009
17078.0,CANTONAL,MOVIMIENTO ALTERNATIVA CIUDADANA,MAC,2009
17079.0,CANTONAL,MOVIMIENTO DE INTEGRACION Y DESARROLLO,MID,2009
17082.0,CANTONAL,MOVIMIENTO INDEPENDIENTE PEDRO MONCAYO EN ACCION,MIPMA,2009
17083.0,CANTONAL,MOVIMIENTO DEMOCRATICO DEL VALLE,MDV,2009
18035.0,CANTONAL,MOVIMIENTO CIUDADANO CEVALLENSE,MCC,2009
18036.0,CANTONAL,UNIDAD PILLARENA,UP,2009
18039.0,CANTONAL,MOVIMIENTO UNIDAD PATATENA,MUP,2009
18040.0,CANTONAL,MOVIMIENTO INDEPENDIENTE DE MOCHA,MIM,2009
18042.0,CANTONAL,MOVIMIENTO INDEPENDIENTE QUERENO,MIQ,2009
18043.0,PROVINCIAL,MOVIMIENTO RENOVADOR MOCHANO,MRM,2009
18044.0,CANTONAL,MOVIMIENTO INDEPENDIENTE PILLARENO,MIP,2009
18046.0,PROVINCIAL,MOVIMIENTO INDEPENDIENTE UNIDAD Y DESARROLLO CUNCHIBAMBA,MIUDC,2009
18047.0,CANTONAL,MOVIMIENTO INDEPENDIENTE BANOS TURISTICO,MIBT,2009
18048.0,CANTONAL,MOVIMIENTO RENOVADOR MOCHANO,MRM,2009
18058.0,CANTONAL,MOVIMIENTO CAMBIO POSITIVO,CP,2009
18059.0,CANTONAL,MOVIMIENTO PELILENOS BALUARTE DE CORAJE,MPBC,2009
19031.0,CANTONAL,MOVIMIENTO INDEPENDIENTE NUEVO ZAMORA,MINZA,2009
19036.0,CANTONAL,MOVIMIENTO INDEPENDIENTE AMAZONICO,MIA,2009
19046.0,CANTONAL,MOVIMIENTO PARTICIPACION COMUNITARIA,MPC,2009
19047.0,CANTONAL,MOVIMIENTO ACUERDO CIUDADANO,MPC,2009
20002.0,CANTONAL,MOVIMIENTO INDEPENDIENTE ISABELA,MI,2009
20003.0,CANTONAL,GALAPAGOS PODER CIUDADANO,GAL-PC,2009
20008.0,CANTONAL,MOVIMIENTO INDEPENDIENTE VANGUARDIA INSULAR ECUATORIANA DE GALAPAGOS,VINEGAL,2009
21013.0,CANTONAL,MOVIMIENTO UNIDAD CASCALENA,M.U.C.,2009
24001.0,CANTONAL,MOVIMIENTO SALINAS INDEPENDIENTE,MSI,2009
24002.0,CANTONAL,FRENTE UNIDAD SALINENSE,FUS,2009
1038.0,PARROQUIAL,MOVIMIENTO PROGRESISTA CHIQUINTENO,MPC,2009
1039.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE NUESTRA GENERACION AVANZA,MINGA,2009
1041.0,PARROQUIAL,FRENTE CIVICO POR EL CAMBIO ECONOMICO SOCIAL Y POLITICO DE CHIQUINTAD,FCC,2009
1042.0,PARROQUIAL,MOVIMIENTO PARROQUIAL CAMBIO 2009,MPC,2009
1043.0,PARROQUIAL,RESCATEMOS BANOS,RB,2009
1044.0,PARROQUIAL,MOVIMIENTO UNIDAD JUSTICIA Y DESARROLLO,MUJYD,2009
1045.0,PARROQUIAL,MDV,MOVIMIENTO DIGNIDAD Y VIDA,2009
1046.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE SININCAY,MIS,2009
1047.0,PARROQUIAL,MOVIMIENTO VICTORIA INDEPENDIENTE,MVI,2009
1048.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE BANOS,MIB,2009
1051.0,PARROQUIAL,MOVIMIENTO QUINGEO,MQ,2009
3022.0,PARROQUIAL,INGAPIRCA POR EL RESCATE DE SU HISTORIA Y SUS DERECHOS,IRHID,2009
3025.0,PARROQUIAL,SOLANENSES EN ACCION POR EL CAMBIO,SEAPEC,2009
4012.0,PARROQUIAL,MOVIMIENTO UNIDAD SOCIAL PROGRESISTA S.M.C,MUSP -S.M.C.,2009
4019.0,PARROQUIAL,MOVIMIENTO PROGRESISTA TUFINO,MPT,2009
4020.0,PARROQUIAL,MOVIMIENTO HONESTIDAD Y TRABAJO,MHT,2009
4021.0,PARROQUIAL,MOVIMIENTO FUTURO Y PROGRESO,MFP,2009
4022.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE SOLIDARIDAD JULIANA,MISJ,2009
5019.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE PARTICIPATIVO,MIP,2009
5020.0,PARROQUIAL,MOVIMIENTO NUEVO MILENIO,MNM,2009
6042.0,PARROQUIAL,MOVIMIENTO REY CACHA,REYCACHA,2009
6046.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE EQUIDAD,MIE,2009
6047.0,PARROQUIAL,MOVIMIENTO PURUWAY,MIP,2009
6048.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE PURUWAY,MIP,2009
7007.0,PARROQUIAL,FRENTE BUENAVISTA INDEPENDIENTE,FBI,2009
7043.0,PARROQUIAL,MOVIMIENTO DE DESARROLLO TRANSPARENTE BUENAVISTENO,MDTB,2009
8005.0,PARROQUIAL,INICIO DE LA LIBERTAD DE SAN FRANCISCO,ILS,2009
8032.0,PARROQUIAL,TRABAJANDO POR CHUMUNDE,MTPCH,2009
8033.0,PARROQUIAL,MOVIMIENTOPOR LA DIGNIDAD DE CONCEPCION,MPDC,2009
10020.0,PARROQUIAL,FRENTE SAN ANTONIO ALTERNATIVO,FSA,2009
